year,month,total_workforce,total_fte,payroll_cost,total_staffing_cost,cost_per_fte,fte_to_headcount_ratio,workforce_change_pct,fte_change_pct,staffing_cost_change_pct,cost_per_fte_change_pct
2025,January,70089.0,65150.0,310361151.71,322102912.03,4944.020138603223,0.929532451597255,,,,
2025,February,70420.0,65458.0,303733672.0,313882599.0,4795.175517125485,0.92953706333428,0.47225670219293026,0.472755180353035,-2.5520765950834856,-3.010599012644577
2025,March,70929.0,65955.0,305739289.09,315975514.36,4790.774230308544,0.9298735355073383,0.7228060210167531,0.7592654832106138,0.6667828566055745,-0.09178572924437578
2025,April,70940.0,65971.0,311676175.11,321069912.03999996,4866.834094374801,0.9299548914575698,0.01550846621269919,0.024258964445444953,1.6122760937088865,1.587631986184368
2025,May,70897.0,65939.0,313118272.61,321219577.19,4871.465706031332,0.9300675628023752,-0.060614603890607466,-0.04850616179836731,0.046614504937281254,0.09516682851147262
2025,June,71683.0,66709.92,312991322.93,321601351.09999996,4820.892471464514,0.9306239973215407,1.10865057759848,1.1691411759353398,0.11885138301335196,-1.038152326602726
2025,July,71820.0,66857.0,318841816.23,330685967.9,4946.1682082654015,0.930896686159844,0.1911192332910261,0.22047695455189587,2.8248067891901485,2.59860051935219
2025,August,71823.0,66880.0,316591380.8,325050216.73,4860.200609001196,0.9311780348913301,0.0041771094402731634,0.03440178290978757,-1.7042607540287968,-1.7380646117240217
2025,September,72886.0,67897.0,364352289.31,374017040.24,5508.594492245607,0.9315506407266142,1.4800272893084498,1.5206339712918737,15.064387282249946,13.340887247402321
2025,October,73340.0,68347.0,333569268.9,345429077.25,5054.04885730171,0.9319198254704117,0.6228905413934172,0.6627686053875648,-7.643492117807149,-8.25157189522221
2025,November,73780.0,68776.0,343503312.95,354352035.13,5152.262927910899,0.9321767416644077,0.5999454595036813,0.6276793421803539,2.5831519312261353,1.943275052976512
2025,December,74324.0,69312.0,342531800.96000004,353387507.19,5098.503970308172,0.9325655239222862,0.7373271889400845,0.7793416308014445,-0.2721948357503168,-1.0434047787333034
2026,January,74770.0,69734.0,339877909.52000004,351250435.31,5037.003976682823,0.9326467834693059,0.6000753457833241,0.60884118190212,-0.6047389442239037,-1.2062360642161374
2026,February,75050.0,70011.0,342762846.39,355976567.62,5084.580531916413,0.9328580946035976,0.37448174401497614,0.39722373591075666,1.3455164278526555,0.9445407518800852
2026,March,75508.0,70457.0,346131375.67,359641197.93,5104.406913862356,0.9331064258091858,0.6102598267821557,0.6370427504249321,1.0294582967921517,0.3899315159134886
2026,April,75493.0,70456.0,342732837.61,354700225.41,5034.350877285115,0.9332785821201965,-0.019865444721089975,-0.001419305391936465,-1.3738616566841944,-1.37246183071702
2026,May,75464.0,70444.0,343227292.73,354904495.33,5038.108218301061,0.9334782147779074,-0.03841415760401645,-0.01703190643805863,0.057589453111805966,0.07463407115502196
2026,June,75899.0,70876.0,344916717.0,354837815.0,5006.459379761837,0.9338199449268106,0.576433796247211,0.6132530804610736,-0.018788246099277206,-0.6281889385436168
